krd_id;mno;krd_ref;lcy_tutar;usd_tutar;para_birimi;valor;vade;odeme_sablonu;krd_program;yapilandirma;teminat_tur_id;teminat;teminat_tutar;faiz_oran
225752;4412;17;783454.07;116449.25;CNY;2025-09-12;2027-09-02;720_gun_4_taksit;yatirim_kredi;1;300;Kefalet;483952.64;0.7638
333455;4412;18;1354072.72;38574.71;TRY;2025-09-30;2030-09-29;5_yil_9_taksit;yatirim_kredi;0;200;Ipotek;1724915.33;0.4989
319098;4412;19;3691692.25;433090.84;CNY;2025-10-17;2027-10-07;720_gun_4_taksit;isletme_kredi;0;300;Kefalet;3775422.9;0.159
239282;4412;20;2485908.97;67068.72;TRY;2025-12-04;2026-11-29;360_gun_tek_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;1542497.5;0.0055
542282;4412;21;4439051.42;128556.0;TRY;2026-01-08;2031-01-07;5_yil_9_taksit;yatirim_kredi;0;200;Ipotek;3421761.76;0.2897
249777;4412;22;2104255.19;285137.03;CNY;2026-01-31;2027-01-26;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;1671201.78;0.1408
321343;4412;23;3720836.35;3720836.35;USD;2026-02-17;2033-02-15;7_yil_9_taksit;yatirim_kredi;0;300;Kefalet;4237549.33;0.8783
491028;4625;1;2457014.28;86406.28;TRY;2023-12-17;2024-12-11;360_gun_2_taksit;isletme_kredi;0;200;Ipotek;3289925.99;0.8465
145145;4625;2;3415046.17;3713734.31;EUR;2024-01-22;2026-01-11;720_gun_4_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;4730535.18;0.0933
184236;4625;3;3138222.7;3138222.7;USD;2024-01-25;2025-01-19;360_gun_2_taksit;isletme_kredi;0;200;Ipotek;3404904.39;0.8762
145473;4625;4;1773308.7;58730.89;TRY;2024-02-22;2025-02-16;360_gun_tek_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;1204406.89;0.7719
151402;4625;5;248692.85;275454.77;EUR;2024-03-29;2025-03-24;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;158848.68;0.9935
493666;4625;6;3681708.59;125894.48;TRY;2024-03-29;2025-03-24;360_gun_tek_taksit;reeskont;0;200;Ipotek;5129189.73;0.7873
270599;4625;7;2475018.82;2475018.82;USD;2024-06-14;2029-06-13;5_yil_9_taksit;yatirim_kredi;0;100;Banka Teminat Mektubu;1671882.37;0.9053
144102;4625;8;4084628.59;4084628.59;USD;2024-06-20;2031-06-19;7_yil_9_taksit;yatirim_kredi;0;200;Ipotek;3992382.42;0.6527
428706;4625;9;4380994.78;611306.48;CNY;2024-07-03;2031-07-02;7_yil_9_taksit;yatirim_kredi;0;200;Ipotek;4782911.07;0.544
475190;4625;10;3772018.59;3772018.59;USD;2024-08-27;2029-08-26;5_yil_9_taksit;yatirim_kredi;0;300;Kefalet;5413378.49;0.7592
294002;4625;11;2960695.68;398602.37;CNY;2024-09-09;2031-09-08;7_yil_9_taksit;yatirim_kredi;0;100;Banka Teminat Mektubu;2002510.66;0.6939
196795;4625;12;3148162.79;3148162.79;USD;2024-11-01;2029-10-31;5_yil_9_taksit;yatirim_kredi;0;300;Kefalet;2593721.67;0.178
533884;4625;13;4037270.57;557100.4;CNY;2024-11-22;2026-11-12;720_gun_4_taksit;yatirim_kredi;0;200;Ipotek;4538988.97;0.1196
534589;4625;14;2104937.9;63770.15;TRY;2024-12-27;2031-12-26;7_yil_9_taksit;yatirim_kredi;0;200;Ipotek;1072717.95;0.7871
122162;4625;15;3001750.32;90059.35;TRY;2025-01-05;2030-01-04;5_yil_9_taksit;yatirim_kredi;0;300;Kefalet;2234952.12;0.0462
125995;4625;16;1108280.01;152967.57;CNY;2025-01-16;2026-01-11;360_gun_tek_taksit;reeskont;0;300;Kefalet;1457482.3;0.6499
281642;4625;17;3303522.94;3303522.94;USD;2025-01-20;2032-01-19;7_yil_9_taksit;yatirim_kredi;0;300;Kefalet;4661315.64;0.4715
274617;4625;18;3256706.67;3256706.67;USD;2025-04-21;2026-04-16;360_gun_2_taksit;isletme_kredi;0;200;Ipotek;4088852.71;0.7234
383889;4625;19;1094963.97;1179809.3;EUR;2025-06-01;2027-05-22;720_gun_4_taksit;isletme_kredi;0;200;Ipotek;1216307.26;0.9851
442441;4625;20;1348662.16;199448.39;CNY;2025-08-03;2026-07-29;360_gun_tek_taksit;reeskont;0;300;Kefalet;1198422.48;0.4183
294049;4625;21;1008073.84;149080.11;CNY;2025-08-24;2026-08-19;360_gun_tek_taksit;reeskont;0;200;Ipotek;1252233.06;0.957
237895;4625;22;3508993.01;3416021.67;EUR;2025-10-02;2026-09-27;360_gun_tek_taksit;reeskont;0;200;Ipotek;1868128.16;0.0586
549068;4625;23;2199687.7;2141406.62;EUR;2025-10-02;2026-09-27;360_gun_tek_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;2019903.33;0.8769
531487;4625;24;2919146.68;3163732.02;EUR;2025-11-11;2026-11-06;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;2158280.65;0.1037
159043;4625;25;1029124.21;1142480.45;EUR;2026-02-05;2027-01-31;360_gun_tek_taksit;reeskont;0;300;Kefalet;853770.88;0.7573
314492;4671;1;255388.38;36637.38;CNY;2023-12-22;2024-12-16;360_gun_tek_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;375566.28;0.9938
193291;4671;2;3487311.9;117067.89;TRY;2024-01-20;2031-01-18;7_yil_9_taksit;yatirim_kredi;0;200;Ipotek;3022780.68;0.5126
290984;4671;3;4039862.77;4039862.77;USD;2024-02-03;2025-01-28;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;5810770.54;0.2099
151703;4671;4;4310855.55;143935.08;TRY;2024-04-15;2025-04-10;360_gun_tek_taksit;reeskont;0;300;Kefalet;5982598.49;0.9658
469571;4671;5;3876818.27;3876818.27;USD;2024-04-18;2031-04-17;7_yil_9_taksit;yatirim_kredi;0;300;Kefalet;3613834.24;0.2637
154229;4671;6;1792400.08;1964799.77;EUR;2024-05-14;2026-05-04;720_gun_4_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;1334204.91;0.741
376679;4671;7;3906984.68;4531052.59;EUR;2024-08-25;2029-08-24;5_yil_9_taksit;yatirim_kredi;1;200;Ipotek;5675288.11;0.4015
362778;4671;8;3939901.57;543664.51;CNY;2024-11-04;2026-10-25;720_gun_4_taksit;yatirim_kredi;0;200;Ipotek;3552975.74;0.0765
471976;4671;9;4063657.21;125207.43;TRY;2024-11-17;2026-11-07;720_gun_4_taksit;yatirim_kredi;0;200;Ipotek;2799631.52;0.7049
391634;4671;10;3590988.9;495637.23;CNY;2025-01-31;2027-01-21;720_gun_4_taksit;isletme_kredi;0;300;Kefalet;3998291.67;0.6476
211118;4671;11;3728953.47;106568.02;TRY;2025-03-19;2026-03-14;360_gun_tek_taksit;reeskont;0;300;Kefalet;3439394.27;0.3148
439228;4671;12;4291526.27;117937.63;TRY;2025-06-05;2026-05-31;360_gun_tek_taksit;reeskont;0;300;Kefalet;2818734.72;0.1453
122274;4671;13;3950043.07;112528.5;TRY;2025-09-05;2027-08-26;720_gun_4_taksit;yatirim_kredi;0;200;Ipotek;2951360.19;0.6295
225323;4671;14;4349204.16;646447.06;CNY;2025-09-15;2026-09-10;360_gun_tek_taksit;isletme_kredi;0;300;Kefalet;3463756.95;0.5527
335408;4671;15;1431470.48;1431470.48;USD;2025-09-17;2026-09-12;360_gun_2_taksit;isletme_kredi;0;200;Ipotek;1130325.31;0.7339
252477;4671;16;2705558.68;2721020.07;EUR;2025-09-20;2026-09-15;360_gun_2_taksit;isletme_kredi;0;200;Ipotek;2256415.64;0.4455
158779;4671;17;4163690.52;4053372.87;EUR;2025-10-02;2030-10-01;5_yil_9_taksit;yatirim_kredi;0;300;Kefalet;5527614.52;0.5009
332361;4671;18;2782794.17;326463.47;CNY;2025-10-16;2026-10-11;360_gun_2_taksit;isletme_kredi;0;200;Ipotek;2192388.33;0.8838
386512;4671;19;129653.65;18787.65;CNY;2025-11-16;2026-11-11;360_gun_tek_taksit;reeskont;0;300;Kefalet;70276.54;0.7655
170009;4671;20;4748828.99;4748828.99;USD;2025-11-17;2026-11-12;360_gun_tek_taksit;reeskont;0;300;Kefalet;4205946.14;0.5379
285463;4671;21;568614.32;15093.86;TRY;2025-11-22;2026-11-17;360_gun_tek_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;359030.61;0.1063
294335;4671;22;298287.3;40419.41;CNY;2026-01-08;2027-01-03;360_gun_2_taksit;isletme_kredi;0;200;Ipotek;298344.46;0.8818
303772;4952;1;2744488.29;2744488.29;USD;2024-01-06;2024-12-31;360_gun_2_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;1874585.38;0.1834
482070;4952;2;4865691.77;161148.71;TRY;2024-02-10;2025-02-04;360_gun_tek_taksit;reeskont;0;200;Ipotek;6043552.2;0.8746
242948;4952;3;2936624.72;2936624.72;USD;2024-02-28;2025-02-22;360_gun_tek_taksit;reeskont;0;300;Kefalet;2197432.68;0.6612
313499;4952;4;1587006.61;1587006.61;USD;2024-03-16;2025-03-11;360_gun_2_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;1343974.01;0.44
517034;4952;5;1617201.5;224399.53;CNY;2024-04-09;2026-03-30;720_gun_4_taksit;isletme_kredi;0;200;Ipotek;1268504.51;0.3225
274684;4952;6;1768193.02;1768193.02;USD;2024-04-12;2025-04-07;360_gun_tek_taksit;isletme_kredi;0;300;Kefalet;1624968.06;0.8532
517608;4952;7;2631482.9;2631482.9;USD;2024-04-15;2029-04-14;5_yil_9_taksit;yatirim_kredi;0;300;Kefalet;2601999.32;0.6292
379506;4952;8;870232.42;120751.65;CNY;2024-04-19;2025-04-14;360_gun_tek_taksit;reeskont;0;300;Kefalet;1125187.7;0.4069
531183;4952;9;1584586.27;1763816.35;EUR;2024-06-25;2025-06-20;360_gun_tek_taksit;reeskont;0;200;Ipotek;1160746.14;0.4901
415134;4952;10;3910797.77;545697.07;CNY;2024-07-18;2026-07-08;720_gun_4_taksit;yatirim_kredi;0;100;Banka Teminat Mektubu;5550743.53;0.5194
195090;4952;11;2087563.61;2421012.95;EUR;2024-08-11;2029-08-10;5_yil_9_taksit;yatirim_kredi;0;100;Banka Teminat Mektubu;3041281.06;0.6315
165604;4952;12;1664195.54;51207.12;TRY;2024-10-07;2025-10-02;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;1752316.64;0.2487
465845;4952;13;3880209.67;119393.64;TRY;2024-10-22;2025-10-17;360_gun_tek_taksit;reeskont;0;200;Ipotek;2016626.28;0.5803
178154;4952;14;3834322.94;4103578.76;EUR;2024-11-10;2025-11-05;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;5185374.56;0.6101
150127;4952;15;2252522.89;2252522.89;USD;2024-12-10;2025-12-05;360_gun_tek_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;3284397.86;0.2531
311373;4952;16;4971033.03;149142.33;TRY;2025-01-30;2026-01-25;360_gun_tek_taksit;reeskont;1;300;Kefalet;5827222.67;0.1589
200282;4952;17;2602648.54;2602648.54;USD;2025-02-16;2026-02-11;360_gun_tek_taksit;reeskont;0;300;Kefalet;1311840.26;0.9345
382388;4952;18;2880992.07;82334.53;TRY;2025-03-19;2026-03-14;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;3612622.44;0.5855
468393;4952;19;3254332.92;3443921.69;EUR;2025-03-22;2032-03-20;7_yil_9_taksit;yatirim_kredi;0;200;Ipotek;3946266.48;0.089
476896;4952;20;3686905.82;485425.59;CNY;2025-04-07;2032-04-05;7_yil_9_taksit;yatirim_kredi;0;300;Kefalet;1869479.97;0.3199
336349;4952;21;209811.54;209811.54;USD;2025-08-26;2027-08-16;720_gun_4_taksit;isletme_kredi;1;300;Kefalet;156276.28;0.8302
372691;4952;22;1973604.47;1973604.47;USD;2025-09-24;2026-09-19;360_gun_2_taksit;isletme_kredi;0;200;Ipotek;2714764.42;0.3741
318554;4952;23;4847540.06;4719103.7;EUR;2025-10-11;2026-10-06;360_gun_tek_taksit;reeskont;0;200;Ipotek;6841563.89;0.6005
524744;4952;24;2725445.58;319735.62;CNY;2025-10-29;2026-10-24;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;2342464.54;0.2461
472129;4952;25;3343108.11;484437.81;CNY;2025-11-27;2026-11-22;360_gun_2_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;4843946.34;0.802
400573;4952;26;2315685.59;2315685.59;USD;2025-12-11;2032-12-09;7_yil_9_taksit;yatirim_kredi;1;300;Kefalet;2788184.49;0.5723
197764;4952;27;3351513.95;3351513.95;USD;2026-02-05;2027-01-31;360_gun_2_taksit;isletme_kredi;0;300;Kefalet;3066429.87;0.068
129825;5476;1;493240.84;493240.84;USD;2023-12-22;2030-12-20;7_yil_9_taksit;yatirim_kredi;0;300;Kefalet;637161.88;0.3757
534836;5476;2;1944116.72;1944116.72;USD;2024-01-18;2025-01-12;360_gun_tek_taksit;isletme_kredi;0;200;Ipotek;1009200.43;0.0722
349511;5476;3;2927155.58;2927155.58;USD;2024-01-25;2031-01-23;7_yil_9_taksit;yatirim_kredi;0;200;Ipotek;1738048.33;0.4766
519164;5476;4;2247687.17;312108.35;CNY;2024-01-30;2025-01-24;360_gun_tek_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;2875875.39;0.5347
437017;5476;5;4707783.94;4707783.94;USD;2024-02-14;2026-02-03;720_gun_4_taksit;isletme_kredi;0;300;Kefalet;3212278.28;0.883
193471;5476;6;3594089.47;3594089.47;USD;2024-03-07;2025-03-02;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;1810850.12;0.7916
427007;5476;7;1325424.31;44179.34;TRY;2024-08-12;2025-08-07;360_gun_2_taksit;isletme_kredi;0;300;Kefalet;1822831.61;0.0298
360364;5476;8;3359154.21;3359154.21;USD;2024-08-21;2029-08-20;5_yil_9_taksit;yatirim_kredi;1;100;Banka Teminat Mektubu;2764840.13;0.3508
408283;5476;9;563290.77;563290.77;USD;2024-08-28;2026-08-18;720_gun_4_taksit;isletme_kredi;0;200;Ipotek;755648.43;0.528
458984;5476;10;2477504.93;76047.0;TRY;2024-09-23;2025-09-18;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;3684462.88;0.7823
539666;5476;11;3607843.78;3742535.82;EUR;2024-10-07;2025-10-02;360_gun_tek_taksit;reeskont;0;200;Ipotek;4980752.62;0.6759
409041;5476;12;834584.27;834584.27;USD;2024-10-13;2025-10-08;360_gun_tek_taksit;reeskont;0;300;Kefalet;985361.93;0.176
150359;5476;13;1934098.51;1934098.51;USD;2024-11-08;2025-11-03;360_gun_tek_taksit;reeskont;0;300;Kefalet;1377416.92;0.2175
437178;5476;14;2854226.88;2927948.6;EUR;2025-01-26;2026-01-21;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;1962575.67;0.4617
348419;5476;15;265171.75;265171.75;USD;2025-01-28;2027-01-18;720_gun_4_taksit;isletme_kredi;1;100;Banka Teminat Mektubu;206930.51;0.9178
349753;5476;16;3807642.23;3708603.51;EUR;2025-04-15;2026-04-10;360_gun_2_taksit;isletme_kredi;0;200;Ipotek;5265855.68;0.1738
409221;5476;17;1648409.44;1648409.44;USD;2025-06-12;2026-06-07;360_gun_2_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;1224008.14;0.6698
478200;5476;18;2716619.55;2927121.9;EUR;2025-06-23;2027-06-13;720_gun_4_taksit;yatirim_kredi;0;300;Kefalet;2774254.25;0.5775
250454;5476;19;326212.96;326212.96;USD;2025-07-25;2026-07-20;360_gun_tek_taksit;reeskont;0;200;Ipotek;234728.91;0.7041
199145;5476;20;4797550.12;4797550.12;USD;2025-07-27;2026-07-22;360_gun_tek_taksit;reeskont;0;200;Ipotek;5804564.26;0.7189
179355;5476;21;516185.18;516185.18;USD;2025-08-27;2030-08-26;5_yil_9_taksit;yatirim_kredi;0;300;Kefalet;434985.09;0.5379
474744;5476;22;2162833.71;2258214.31;EUR;2025-08-28;2026-08-23;360_gun_tek_taksit;isletme_kredi;1;300;Kefalet;2854034.23;0.68
137250;5476;23;3652465.62;3652465.62;USD;2025-09-24;2026-09-19;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;2429302.82;0.0574
497972;5476;24;2174268.32;323173.92;CNY;2025-09-29;2027-09-19;720_gun_4_taksit;yatirim_kredi;0;100;Banka Teminat Mektubu;1636314.11;0.3398
420790;5476;25;3766177.93;101609.81;TRY;2025-12-11;2032-12-09;7_yil_9_taksit;yatirim_kredi;0;300;Kefalet;4434793.61;0.4775
473497;5476;26;3209458.43;407820.49;CNY;2025-12-21;2026-12-16;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;3160266.74;0.4132
161455;5476;27;3815433.06;484820.67;CNY;2025-12-27;2026-12-22;360_gun_tek_taksit;reeskont;0;300;Kefalet;2207018.07;0.0773
521562;5578;1;4438824.12;4438824.12;USD;2024-02-28;2026-02-17;720_gun_4_taksit;isletme_kredi;0;200;Ipotek;6477340.9;0.911
296309;5578;2;3914773.53;130710.3;TRY;2024-04-08;2026-03-29;720_gun_4_taksit;isletme_kredi;0;200;Ipotek;5789511.27;0.9159
369366;5578;3;3803081.42;3803081.42;USD;2024-05-25;2026-05-15;720_gun_4_taksit;yatirim_kredi;0;100;Banka Teminat Mektubu;3905545.29;0.1543
472333;5578;4;1263416.05;184920.04;CNY;2024-08-28;2025-08-23;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;1127341.06;0.2901
191846;5578;5;3702627.82;113652.15;TRY;2024-09-03;2025-08-29;360_gun_tek_taksit;reeskont;0;200;Ipotek;4833597.26;0.144
406066;5578;6;3895015.94;119849.23;TRY;2024-10-01;2025-09-26;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;3664463.96;0.0393
284319;5578;7;4792596.54;599448.44;CNY;2024-12-18;2025-12-13;360_gun_tek_taksit;reeskont;0;300;Kefalet;2545718.33;0.339
139589;5578;8;4788816.19;4788816.19;USD;2025-01-16;2026-01-11;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;2998390.73;0.3441
519348;5578;9;4889109.92;5124174.78;EUR;2025-02-04;2030-02-03;5_yil_9_taksit;yatirim_kredi;0;200;Ipotek;6250060.81;0.763
356115;5578;10;774211.49;774211.49;USD;2025-02-18;2026-02-13;360_gun_tek_taksit;reeskont;0;200;Ipotek;1160690.53;0.2178
544051;5578;11;3529357.06;463136.52;CNY;2025-03-07;2027-02-25;720_gun_4_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;5232495.96;0.4059
455436;5578;12;2610111.35;2610111.35;USD;2025-03-26;2027-03-16;720_gun_4_taksit;yatirim_kredi;0;300;Kefalet;2263529.61;0.2353
207934;5578;13;4670546.12;4670546.12;USD;2025-05-22;2030-05-21;5_yil_9_taksit;yatirim_kredi;0;200;Ipotek;2651728.98;0.3315
246980;5578;14;2208302.54;291357.47;CNY;2025-05-25;2026-05-20;360_gun_tek_taksit;reeskont;0;300;Kefalet;1737063.44;0.905
542809;5578;15;3270372.33;402710.9;CNY;2025-06-18;2026-06-13;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;3038743.85;0.0778
397775;5578;16;2521039.54;73971.78;TRY;2025-07-02;2026-06-27;360_gun_tek_taksit;reeskont;0;300;Kefalet;1747348.99;0.456
337018;5578;17;4154000.26;121885.74;TRY;2025-07-28;2026-07-23;360_gun_tek_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;3351559.74;0.6255
359346;5578;18;4396898.32;125258.48;TRY;2025-09-11;2026-09-06;360_gun_tek_taksit;isletme_kredi;0;200;Ipotek;5907356.0;0.8656
309909;5578;19;262386.34;262386.34;USD;2025-10-07;2026-10-02;360_gun_2_taksit;isletme_kredi;0;100;Banka Teminat Mektubu;285432.31;0.8923
236762;5578;20;4662688.03;547003.2;CNY;2025-10-22;2032-10-20;7_yil_9_taksit;yatirim_kredi;0;100;Banka Teminat Mektubu;6646582.45;0.7468
208867;5578;21;4032882.91;108805.4;TRY;2025-12-17;2032-12-15;7_yil_9_taksit;yatirim_kredi;0;100;Banka Teminat Mektubu;2928675.11;0.0222
218789;5578;22;2594592.62;2594592.62;USD;2026-01-08;2027-01-03;360_gun_tek_taksit;reeskont;0;300;Kefalet;3569638.15;0.7989
514941;5578;23;1392132.74;188640.9;CNY;2026-01-08;2027-01-03;360_gun_2_taksit;isletme_kredi;0;200;Ipotek;1142883.67;0.4549
370888;5839;1;4353630.34;153104.92;TRY;2023-12-20;2024-12-14;360_gun_tek_taksit;reeskont;0;200;Ipotek;5432246.67;0.3747
384831;5839;2;3699315.22;4022866.21;EUR;2024-01-03;2024-12-28;360_gun_2_taksit;isletme_kredi;0;300;Kefalet;4032120.39;0.1832
543987;5839;3;2459537.02;82565.83;TRY;2024-01-23;2025-01-17;360_gun_tek_taksit;reeskont;0;300;Kefalet;1324423.44;0.0699
532625;5839;4;2465852.17;81667.5;TRY;2024-02-12;2025-02-06;360_gun_tek_taksit;reeskont;0;300;Kefalet;3637838.09;0.7638
243890;5839;5;3116512.11;106567.83;TRY;2024-03-31;2025-03-26;360_gun_tek_taksit;reeskont;0;200;Ipotek;3511031.68;0.9472
325782;5839;6;3707093.21;121959.9;TRY;2024-05-04;2025-04-29;360_gun_tek_taksit;reeskont;0;100;Banka Teminat Mektubu;2925920.07;0.1534
441894;5839;7;174561.76;174561.76;USD;2024-05-28;2025-05-23;360_gun_2_taksit;isletme_kredi;0;300;Kefalet;120423.07;0.6779
524317;5839;8;955163.87;999712.46;EUR;2024-07-14;2031-07-13;7_yil_9_taksit;yatirim_kredi;0;100;Banka Teminat Mektubu;1102435.95;0.7955
498078;5839;9;2503083.74;2503083.74;USD;2024-07-29;2026-07-19;720_gun_4_taksit;yatirim_kredi;0;100;Banka Teminat Mektubu;1889138.49;0.5749
396907;5839;10;1278653.37;1278653.37;USD;2024-08-25;2025-08-20;360_gun_tek_taksit;reeskont;0;200;Ipotek;1802749.89;0.0643
